# Relative absorption vs depth and time in response to an impulse at
# the scalp at time 0. The impulse covers an 11x11 square mm area of the scalp.
# Stained gray matter (id=28) is at a depth of approximately 29 mm.
# Absorption refers to area totals in a column extending from the illuminated
# area on the scalp through the stained area at approximately 29 mm.
"depth.in.mm","1 ns","2 ns","3 ns","4 ns","5 ns","6 ns","7 ns","8 ns","9 ns","10 ns"
38,8.37604297112942e-20,8.84508045790647e-15,5.77169014045804e-13,3.72735874360387e-12,9.29931807308246e-12,1.49402513299798e-11,1.92798934737415e-11,2.2182035209987e-11,2.3982816256428e-11,2.50548046131685e-11
39,2.27270906730151e-20,3.41653723332659e-15,2.84912690723393e-13,2.17456771676328e-12,6.04955392772529e-12,1.04130883070696e-11,1.40269501060754e-11,1.65699298281284e-11,1.82051502913647e-11,1.92037911565697e-11
40,6.39101969061738e-21,1.35945701172482e-15,1.43240165163317e-13,1.28170374203723e-12,3.95448964830029e-12,7.27006201250791e-12,1.02068854667018e-11,1.23725746498868e-11,1.38124854009825e-11,1.47136654884532e-11
41,1.66989460721021e-21,5.41013011663921e-16,7.36886992368419e-14,7.69693486012446e-13,2.61192961551996e-12,5.09601626631914e-12,7.42711550282093e-12,9.21743982169291e-12,1.04434216964082e-11,1.12279064394641e-11
42,4.09232008264802e-22,2.13994453328714e-16,3.86059782293054e-14,4.70944929243098e-13,1.75007066673128e-12,3.61047832531053e-12,5.45072833040044e-12,6.91866782733889e-12,7.95278029305185e-12,8.62919241803998e-12
43,7.18729738493305e-23,6.62729123083836e-17,1.62266595291195e-14,2.34798598988871e-13,9.67871224188109e-13,2.13247027238451e-12,3.35970865202243e-12,4.38555449060891e-12,5.13457349724404e-12,5.6385462534758e-12
44,1.26774056856062e-23,2.53848024445672e-17,8.34533888244477e-15,1.38236851421767e-13,6.15054128287697e-13,1.42188814336863e-12,2.31276949831799e-12,3.08485589093502e-12,3.66516288682585e-12,4.0650604890181e-12
45,1.92843607176856e-24,1.02007995602456e-17,4.50263525921069e-15,8.53983182230795e-14,4.10219341798884e-13,9.95012925289384e-13,1.67071560098523e-12,2.2771516696942e-12,2.74593596897415e-12,3.07660716955156e-12
46,3.4548693667177e-25,3.92483793870823e-18,2.30164169950898e-15,5.07247876473357e-14,2.66364882266065e-13,6.83652818194056e-13,1.19177709426833e-12,1.66641433209204e-12,2.04519262063829e-12,2.31950500613555e-12
47,6.11319788925854e-26,1.40247525390843e-18,1.1043370291305e-15,2.87095747021559e-14,1.66776523190238e-13,4.5687761867715e-13,8.32048261407876e-13,1.19890424150117e-12,1.5024547590458e-12,1.72889195266345e-12
